risk_decile,n,mean_predicted_decline,observed_decline_rate,decline_cases,calibration_gap,decline_capture_share
1,5150,0.011606796116504853,0.006213592233009709,32,-0.005393203883495144,0.002931208207382981
2,4953,0.02320674338784575,0.013930950938824955,69,-0.009275792449020796,0.006320417697169552
3,4814,0.037720814291649356,0.028666389696717906,138,-0.00905442459493145,0.012640835394339104
4,4746,0.061349136114622844,0.048883270122208174,232,-0.01246586599241467,0.02125125950352661
5,4908,0.10027974735126324,0.09148329258353709,449,-0.008796454767726156,0.04112851515984245
6,4863,0.15814764548632532,0.1564877647542669,761,-0.0016598807320584164,0.06970779518182652
7,4917,0.2364222086638194,0.23652633719747815,1163,0.0001041285336587372,0.1065310982870752
8,4871,0.34305337712995276,0.33976596181482244,1655,-0.0032874153151303265,0.15159842447558852
9,4886,0.5016551371264838,0.5218993041342611,2550,0.020244167007777314,0.23358065402583128
10,4899,0.7612237191263523,0.789548887528067,3868,0.028325168401714618,0.3543097920674178
