spec_id,base_year,start_month,window_weeks,lag_years,outcome_3,n,share
y2021_m01_w04_lag1y,2021,1,4,1,Growth,22849,0.7165616081788817
y2021_m01_w04_lag1y,2021,1,4,1,Stable,7860,0.24649543701194845
y2021_m01_w04_lag1y,2021,1,4,1,Decline,1178,0.036942954809169884
y2021_m01_w08_lag1y,2021,1,8,1,Growth,20120,0.6302665789556119
y2021_m01_w08_lag1y,2021,1,8,1,Stable,8193,0.2566488112019547
y2021_m01_w08_lag1y,2021,1,8,1,Decline,3610,0.11308460984243336
y2021_m01_w12_lag1y,2021,1,12,1,Growth,21067,0.6550887776361205
y2021_m01_w12_lag1y,2021,1,12,1,Stable,8507,0.2645293696943313
y2021_m01_w12_lag1y,2021,1,12,1,Decline,2585,0.08038185266954818
y2021_m01_w16_lag1y,2021,1,16,1,Growth,22916,0.7115665269368111
y2021_m01_w16_lag1y,2021,1,16,1,Stable,7952,0.24691818040676913
y2021_m01_w16_lag1y,2021,1,16,1,Decline,1337,0.04151529265641981
y2021_m01_w20_lag1y,2021,1,20,1,Growth,24157,0.7382043759931549
y2021_m01_w20_lag1y,2021,1,20,1,Stable,7518,0.22973964063072974
y2021_m01_w20_lag1y,2021,1,20,1,Decline,1049,0.03205598337611539
y2021_m01_w30_lag1y,2021,1,30,1,Growth,22934,0.6972304137658468
y2021_m01_w30_lag1y,2021,1,30,1,Stable,8579,0.2608153710515915
y2021_m01_w30_lag1y,2021,1,30,1,Decline,1380,0.04195421518256164
y2021_m01_w04_lag2y,2021,1,4,2,Growth,16379,0.5853196583640067
y2021_m01_w04_lag2y,2021,1,4,2,Stable,9764,0.34892613372404674
y2021_m01_w04_lag2y,2021,1,4,2,Decline,1840,0.06575420791194654
y2021_m01_w08_lag2y,2021,1,8,2,Growth,17011,0.606150228050171
y2021_m01_w08_lag2y,2021,1,8,2,Stable,10044,0.3578962371721779
y2021_m01_w08_lag2y,2021,1,8,2,Decline,1009,0.035953534777651085
y2021_m01_w12_lag2y,2021,1,12,2,Growth,18646,0.6609244293208564
y2021_m01_w12_lag2y,2021,1,12,2,Stable,8534,0.3024953920317595
y2021_m01_w12_lag2y,2021,1,12,2,Decline,1032,0.03658017864738409
y2021_m01_w16_lag2y,2021,1,16,2,Growth,18662,0.6617026557458426
y2021_m01_w16_lag2y,2021,1,16,2,Stable,8419,0.2985143424458391
y2021_m01_w16_lag2y,2021,1,16,2,Decline,1122,0.039783001808318265
y2021_m01_w20_lag2y,2021,1,20,2,Growth,17531,0.6141315771036222
y2021_m01_w20_lag2y,2021,1,20,2,Stable,9358,0.3278217613676172
y2021_m01_w20_lag2y,2021,1,20,2,Decline,1657,0.0580466615287606
y2021_m01_w30_lag2y,2021,1,30,2,Growth,13019,0.4570154807456033
y2021_m01_w30_lag2y,2021,1,30,2,Stable,12692,0.445536560536385
y2021_m01_w30_lag2y,2021,1,30,2,Decline,2776,0.09744795871801172
y2021_m02_w04_lag1y,2021,2,4,1,Growth,6774,0.2054158959274646
y2021_m02_w04_lag1y,2021,2,4,1,Stable,21136,0.6409315583588562
y2021_m02_w04_lag1y,2021,2,4,1,Decline,5067,0.15365254571367923
y2021_m02_w08_lag1y,2021,2,8,1,Growth,10551,0.3165426617064683
y2021_m02_w08_lag1y,2021,2,8,1,Stable,19365,0.5809732389295572
y2021_m02_w08_lag1y,2021,2,8,1,Decline,3416,0.10248409936397455
y2021_m02_w12_lag1y,2021,2,12,1,Growth,16808,0.5099359849519128
y2021_m02_w12_lag1y,2021,2,12,1,Stable,14148,0.4292345499226358
y2021_m02_w12_lag1y,2021,2,12,1,Decline,2005,0.06082946512545129
y2021_m02_w16_lag1y,2021,2,16,1,Growth,18446,0.5583774784319661
y2021_m02_w16_lag1y,2021,2,16,1,Stable,12758,0.3861964583018011
y2021_m02_w16_lag1y,2021,2,16,1,Decline,1831,0.05542606326623278
y2021_m02_w20_lag1y,2021,2,20,1,Growth,17615,0.5288360503167312
y2021_m02_w20_lag1y,2021,2,20,1,Stable,13575,0.40754750968206793
y2021_m02_w20_lag1y,2021,2,20,1,Decline,2119,0.06361644000120088
y2021_m02_w30_lag1y,2021,2,30,1,Growth,14054,0.424156455604515
y2021_m02_w30_lag1y,2021,2,30,1,Stable,15888,0.4795074545783787
y2021_m02_w30_lag1y,2021,2,30,1,Decline,3192,0.0963360898171063
y2021_m02_w04_lag2y,2021,2,4,2,Growth,4775,0.16470628815839397
y2021_m02_w04_lag2y,2021,2,4,2,Stable,19715,0.6800386326791074
y2021_m02_w04_lag2y,2021,2,4,2,Decline,4501,0.1552550791624987
y2021_m02_w08_lag2y,2021,2,8,2,Growth,6405,0.2193267814950519
y2021_m02_w08_lag2y,2021,2,8,2,Stable,18894,0.6469883231174879
y2021_m02_w08_lag2y,2021,2,8,2,Decline,3904,0.1336848953874602
y2021_m02_w12_lag2y,2021,2,12,2,Growth,5970,0.2074573444069917
y2021_m02_w12_lag2y,2021,2,12,2,Stable,18231,0.6335267748549188
y2021_m02_w12_lag2y,2021,2,12,2,Decline,4576,0.15901588073808945
y2021_m02_w16_lag2y,2021,2,16,2,Growth,5293,0.18402753633266114
y2021_m02_w16_lag2y,2021,2,16,2,Stable,17879,0.6216188025867464
y2021_m02_w16_lag2y,2021,2,16,2,Decline,5590,0.19435366108059246
y2021_m02_w20_lag2y,2021,2,20,2,Growth,4757,0.1644768688195837
y2021_m02_w20_lag2y,2021,2,20,2,Stable,17985,0.6218449623124265
y2021_m02_w20_lag2y,2021,2,20,2,Decline,6180,0.21367816886798977
y2021_m02_w30_lag2y,2021,2,30,2,Growth,2129,0.07444316234833386
y2021_m02_w30_lag2y,2021,2,30,2,Stable,13818,0.48316374698416026
y2021_m02_w30_lag2y,2021,2,30,2,Decline,12652,0.4423930906675059
y2021_m03_w04_lag1y,2021,3,4,1,Growth,9361,0.2744758833015687
y2021_m03_w04_lag1y,2021,3,4,1,Stable,21209,0.6218736255680986
y2021_m03_w04_lag1y,2021,3,4,1,Decline,3535,0.1036504911303328
y2021_m03_w08_lag1y,2021,3,8,1,Growth,18011,0.5321770476303037
y2021_m03_w08_lag1y,2021,3,8,1,Stable,13621,0.40246424772485523
y2021_m03_w08_lag1y,2021,3,8,1,Decline,2212,0.06535870464484103
y2021_m03_w12_lag1y,2021,3,12,1,Growth,18134,0.5442703643676091
y2021_m03_w12_lag1y,2021,3,12,1,Stable,13058,0.39192028333033196
y2021_m03_w12_lag1y,2021,3,12,1,Decline,2126,0.06380935230205895
y2021_m03_w16_lag1y,2021,3,16,1,Growth,16037,0.48063897380567044
y2021_m03_w16_lag1y,2021,3,16,1,Stable,14674,0.4397890067733621
y2021_m03_w16_lag1y,2021,3,16,1,Decline,2655,0.07957201942096745
y2021_m03_w20_lag1y,2021,3,20,1,Growth,14081,0.41880316459461064
y2021_m03_w20_lag1y,2021,3,20,1,Stable,16110,0.4791505561834513
y2021_m03_w20_lag1y,2021,3,20,1,Decline,3431,0.10204627922193801
y2021_m03_w30_lag1y,2021,3,30,1,Growth,9081,0.27288298575635556
y2021_m03_w30_lag1y,2021,3,30,1,Stable,19413,0.5833583749023379
y2021_m03_w30_lag1y,2021,3,30,1,Decline,4784,0.14375863934130656
y2021_m03_w04_lag2y,2021,3,4,2,Growth,5825,0.19493992838258425
