spec_id,base_year,start_month,window_weeks,lag_years,feature_start_date,feature_end_date,target_start_date,target_end_date,n_feature_stores,n_target_stores,n_joined_stores
y2021_m01_w04_lag1y,2021,1,4,1,2021-01-01,2021-01-18,2022-01-01,2022-01-17,37441,40151,31887
y2021_m01_w08_lag1y,2021,1,8,1,2021-01-01,2021-02-15,2022-01-01,2022-02-14,37529,39953,31923
y2021_m01_w12_lag1y,2021,1,12,1,2021-01-01,2021-03-15,2022-01-01,2022-03-14,37800,39858,32159
y2021_m01_w16_lag1y,2021,1,16,1,2021-01-01,2021-04-12,2022-01-01,2022-04-11,37770,39774,32205
y2021_m01_w20_lag1y,2021,1,20,1,2021-01-01,2021-05-10,2022-01-01,2022-05-09,38166,40078,32724
y2021_m01_w30_lag1y,2021,1,30,1,2021-01-01,2021-07-19,2022-01-01,2022-07-18,37979,39861,32893
y2021_m01_w04_lag2y,2021,1,4,2,2021-01-01,2021-01-18,2023-01-01,2023-01-16,37441,39727,27983
y2021_m01_w08_lag2y,2021,1,8,2,2021-01-01,2021-02-15,2023-01-01,2023-02-13,37529,39568,28064
y2021_m01_w12_lag2y,2021,1,12,2,2021-01-01,2021-03-15,2023-01-01,2023-03-13,37800,39309,28212
y2021_m01_w16_lag2y,2021,1,16,2,2021-01-01,2021-04-12,2023-01-01,2023-04-10,37770,39061,28203
y2021_m01_w20_lag2y,2021,1,20,2,2021-01-01,2021-05-10,2023-01-01,2023-05-08,38166,39149,28546
y2021_m01_w30_lag2y,2021,1,30,2,2021-01-01,2021-07-19,2023-01-01,2023-07-17,37979,38614,28487
y2021_m02_w04_lag1y,2021,2,4,1,2021-02-01,2021-02-22,2022-02-07,2022-02-28,38760,40594,32977
y2021_m02_w08_lag1y,2021,2,8,1,2021-02-01,2021-03-22,2022-02-07,2022-03-28,39165,40339,33332
y2021_m02_w12_lag1y,2021,2,12,1,2021-02-01,2021-04-19,2022-02-07,2022-04-25,38726,40223,32961
y2021_m02_w16_lag1y,2021,2,16,1,2021-02-01,2021-05-17,2022-02-07,2022-05-23,38548,40146,33035
y2021_m02_w20_lag1y,2021,2,20,1,2021-02-01,2021-06-14,2022-02-07,2022-06-20,38603,40355,33309
y2021_m02_w30_lag1y,2021,2,30,1,2021-02-01,2021-08-23,2022-02-07,2022-08-29,38243,40000,33134
y2021_m02_w04_lag2y,2021,2,4,2,2021-02-01,2021-02-22,2023-02-06,2023-02-27,38760,40041,28991
y2021_m02_w08_lag2y,2021,2,8,2,2021-02-01,2021-03-22,2023-02-06,2023-03-27,39165,39623,29203
y2021_m02_w12_lag2y,2021,2,12,2,2021-02-01,2021-04-19,2023-02-06,2023-04-24,38726,39364,28777
y2021_m02_w16_lag2y,2021,2,16,2,2021-02-01,2021-05-17,2023-02-06,2023-05-22,38548,39115,28762
y2021_m02_w20_lag2y,2021,2,20,2,2021-02-01,2021-06-14,2023-02-06,2023-06-19,38603,39165,28922
y2021_m02_w30_lag2y,2021,2,30,2,2021-02-01,2021-08-23,2023-02-06,2023-08-28,38243,38510,28599
y2021_m03_w04_lag1y,2021,3,4,1,2021-03-01,2021-03-22,2022-03-07,2022-03-28,40089,40735,34105
y2021_m03_w08_lag1y,2021,3,8,1,2021-03-01,2021-04-19,2022-03-07,2022-04-25,39602,40558,33844
y2021_m03_w12_lag1y,2021,3,12,1,2021-03-01,2021-05-17,2022-03-07,2022-05-23,38909,40421,33318
y2021_m03_w16_lag1y,2021,3,16,1,2021-03-01,2021-06-14,2022-03-07,2022-06-20,38720,40363,33366
y2021_m03_w20_lag1y,2021,3,20,1,2021-03-01,2021-07-12,2022-03-07,2022-07-18,38909,40493,33622
y2021_m03_w30_lag1y,2021,3,30,1,2021-03-01,2021-09-20,2022-03-07,2022-09-26,38315,39963,33278
y2021_m03_w04_lag2y,2021,3,4,2,2021-03-01,2021-03-22,2023-03-06,2023-03-27,40089,39979,29881
y2021_m03_w08_lag2y,2021,3,8,2,2021-03-01,2021-04-19,2023-03-06,2023-04-24,39602,39614,29533
y2021_m03_w12_lag2y,2021,3,12,2,2021-03-01,2021-05-17,2023-03-06,2023-05-22,38909,39288,28953
y2021_m03_w16_lag2y,2021,3,16,2,2021-03-01,2021-06-14,2023-03-06,2023-06-19,38720,39055,28923
y2021_m03_w20_lag2y,2021,3,20,2,2021-03-01,2021-07-12,2023-03-06,2023-07-17,38909,39034,29043
y2021_m04_w04_lag1y,2021,4,4,1,2021-04-05,2021-04-26,2022-04-04,2022-04-25,39641,41036,34083
y2021_m04_w08_lag1y,2021,4,8,1,2021-04-05,2021-05-24,2022-04-04,2022-05-23,39273,40821,33921
y2021_m04_w12_lag1y,2021,4,12,1,2021-04-05,2021-06-21,2022-04-04,2022-06-20,39198,40661,33924
y2021_m04_w16_lag1y,2021,4,16,1,2021-04-05,2021-07-19,2022-04-04,2022-07-18,38928,40411,33724
y2021_m04_w20_lag1y,2021,4,20,1,2021-04-05,2021-08-16,2022-04-04,2022-08-15,38898,40383,33787
