combo_id,n_stores
sy2021_sm01_w1m_off1,32937
sy2021_sm01_w1m_off2,29110
sy2021_sm01_w2m_off1,33313
sy2021_sm01_w2m_off2,29642
sy2021_sm01_w3m_off1,34058
sy2021_sm01_w3m_off2,30411
sy2021_sm02_w1m_off1,33671
sy2021_sm02_w1m_off2,29740
sy2021_sm02_w2m_off1,34362
sy2021_sm02_w2m_off2,30635
sy2021_sm02_w3m_off1,34759
sy2021_sm02_w3m_off2,30988
sy2021_sm03_w1m_off1,34696
sy2021_sm03_w1m_off2,30583
sy2021_sm03_w2m_off1,34687
sy2021_sm03_w2m_off2,30756
sy2021_sm03_w3m_off1,34957
sy2021_sm03_w3m_off2,30754
sy2021_sm04_w1m_off1,34588
sy2021_sm04_w1m_off2,30259
sy2021_sm04_w2m_off1,35224
sy2021_sm04_w2m_off2,30671
sy2021_sm04_w3m_off1,35679
sy2021_sm04_w3m_off2,30984
sy2021_sm05_w1m_off1,35240
sy2021_sm05_w1m_off2,30498
sy2021_sm05_w2m_off1,35478
sy2021_sm05_w2m_off2,30701
sy2021_sm05_w3m_off1,35705
sy2021_sm05_w3m_off2,30907
sy2021_sm06_w1m_off1,35388
sy2021_sm06_w1m_off2,30515
sy2021_sm06_w2m_off1,35463
sy2021_sm06_w2m_off2,30590
sy2021_sm06_w3m_off1,35708
sy2021_sm06_w3m_off2,30775
sy2021_sm07_w1m_off1,35141
sy2021_sm07_w1m_off2,30278
sy2021_sm07_w2m_off1,35388
sy2021_sm07_w2m_off2,30449
sy2021_sm07_w3m_off1,35626
sy2021_sm07_w3m_off2,30580
sy2021_sm08_w1m_off1,35140
sy2021_sm08_w1m_off2,29972
sy2021_sm08_w2m_off1,35489
sy2021_sm08_w3m_off1,35855
sy2021_sm09_w1m_off1,35550
sy2021_sm09_w2m_off1,35738
sy2021_sm09_w3m_off1,36261
sy2021_sm10_w1m_off1,35701
sy2021_sm10_w2m_off1,36132
sy2021_sm10_w3m_off1,36697
sy2021_sm11_w1m_off1,36324
sy2021_sm11_w2m_off1,36524
sy2021_sm11_w3m_off1,36827
sy2021_sm12_w1m_off1,36323
sy2021_sm12_w2m_off1,36359
sy2021_sm12_w3m_off1,36611
sy2022_sm01_w1m_off1,35894
sy2022_sm01_w2m_off1,36119
sy2022_sm01_w3m_off1,36374
sy2022_sm02_w1m_off1,35702
sy2022_sm02_w2m_off1,35910
sy2022_sm02_w3m_off1,36328
sy2022_sm03_w1m_off1,35689
sy2022_sm03_w2m_off1,35935
sy2022_sm03_w3m_off1,36298
sy2022_sm04_w1m_off1,35753
sy2022_sm04_w2m_off1,36072
sy2022_sm04_w3m_off1,36345
sy2022_sm05_w1m_off1,35743
sy2022_sm05_w2m_off1,35970
sy2022_sm05_w3m_off1,36156
sy2022_sm06_w1m_off1,35623
sy2022_sm06_w2m_off1,35818
sy2022_sm06_w3m_off1,35996
sy2022_sm07_w1m_off1,35413
sy2022_sm07_w2m_off1,35567
sy2022_sm07_w3m_off1,35688
sy2022_sm08_w1m_off1,34907
