combo_id,n_stores,sigma_slope,threshold,Growth,Stable,Decline,growth_ratio,stable_ratio,decline_ratio
sy2021_sm01_w1m_off1,33063,0.13583187586994233,0.06791593793497117,16575,9269,7219,0.5013156700843844,0.28034358648640473,0.2183407434292109
sy2021_sm01_w1m_off2,29062,0.1353258934627825,0.06766294673139125,16389,8873,3800,0.563932282705939,0.3053127795747024,0.13075493771935862
sy2021_sm01_w2m_off1,33602,0.056318429833141746,0.028159214916570873,19079,10530,3993,0.567793583715255,0.31337420391643356,0.11883221236831142
sy2021_sm01_w2m_off2,29708,0.0677224919370985,0.03386124596854925,18161,9676,1871,0.6113168170189848,0.325703514204928,0.06297966877608725
sy2021_sm01_w3m_off1,34274,0.042120362795051366,0.021060181397525683,19404,12207,2663,0.5661434323393826,0.35615918772247185,0.07769737993814553
sy2021_sm01_w3m_off2,30444,0.05725040769984194,0.02862520384992097,15702,13123,1619,0.5157666535277887,0.4310537380107739,0.05317960846143739
sy2021_sm02_w1m_off1,33377,0.14706616788239202,0.07353308394119601,8758,18318,6301,0.2623962608982233,0.5488210444317944,0.18878269466998232
sy2021_sm02_w1m_off2,29359,0.13957995123680675,0.06978997561840337,6403,16986,5970,0.2180932593071971,0.5785619401205763,0.20334480057222656
sy2021_sm02_w2m_off1,34430,0.0671928769750179,0.03359643848750895,12516,18153,3761,0.36352018588440316,0.5272436828347371,0.10923613128085971
sy2021_sm02_w2m_off2,30507,0.0751890650008297,0.03759453250041485,7107,19120,4280,0.2329629265414495,0.6267414036122857,0.1402956698462648
sy2021_sm02_w3m_off1,34918,0.05623875661753831,0.028119378308769157,17795,15229,1894,0.5096225442465204,0.4361360902686294,0.05424136548485022
sy2021_sm02_w3m_off2,30952,0.050128201162854234,0.025064100581427117,5821,20554,4577,0.18806539157405014,0.6640604807443784,0.14787412768157146
sy2021_sm03_w1m_off1,34514,0.1384279767548623,0.06921398837743115,11802,18509,4203,0.3419481949353885,0.5362751347279365,0.12177667033667497
sy2021_sm03_w1m_off2,30245,0.13979878251437713,0.06989939125718857,7943,17772,4530,0.26262192097867415,0.5876012564060176,0.1497768226153083
sy2021_sm03_w2m_off1,34762,0.0727790183248954,0.0363895091624477,18890,13793,2079,0.5434094701110408,0.3967838444278235,0.059806685461135725
sy2021_sm03_w2m_off2,30583,0.06692649197801286,0.03346324598900643,4758,20800,5025,0.1555766275381748,0.6801164045384691,0.1643069679233561
sy2021_sm03_w3m_off1,35142,0.048886286560878504,0.024443143280439252,17843,15157,2142,0.5077400261795003,0.4313072676569347,0.06095270616356496
sy2021_sm03_w3m_off2,30692,0.05645511509828134,0.02822755754914067,3162,22988,4542,0.10302358920891437,0.7489899648116773,0.14798644597940833
sy2021_sm04_w1m_off1,34443,0.14028981431318965,0.07014490715659483,11371,18981,4091,0.3301396510176233,0.5510844003135615,0.11877594866881515
sy2021_sm04_w1m_off2,29957,0.12952712204793257,0.06476356102396628,6139,18431,5387,0.2049270621223754,0.6152485228827986,0.1798244149948259
sy2021_sm04_w2m_off1,35239,0.05702948611058957,0.028514743055294785,11503,19794,3942,0.3264281052243253,0.5617071994097449,0.1118646953659298
sy2021_sm04_w2m_off2,30618,0.057566068043771436,0.028783034021885718,4968,18990,6660,0.16225749559082892,0.6202233980011758,0.2175191064079953
sy2021_sm04_w3m_off1,35715,0.04130233153594092,0.02065116576797046,8920,21535,5260,0.249755004899902,0.6029679406411872,0.14727705445891082
sy2021_sm04_w3m_off2,30971,0.04583632080251949,0.022918160401259744,4018,20980,5973,0.1297342675406025,0.6774078977107617,0.19285783474863583
sy2021_sm05_w1m_off1,35052,0.0996666534366031,0.04983332671830155,7788,20563,6701,0.22218418349880178,0.5866427022709118,0.19117311423028643
sy2021_sm05_w1m_off2,30291,0.10122162621788217,0.05061081310894108,6612,17285,6394,0.21828265821531148,0.5706315407216666,0.21108580106302202
sy2021_sm05_w2m_off1,35368,0.05739201556364941,0.028696007781824705,5879,21200,8289,0.16622370504410766,0.5994118977606876,0.23436439719520472
sy2021_sm05_w2m_off2,30589,0.05976129763174602,0.02988064881587301,5518,18682,6389,0.18039164405505248,0.6107424237470986,0.2088659321978489
sy2021_sm05_w3m_off1,35649,0.04856686692553144,0.02428343346276572,4376,22604,8669,0.12275239137142697,0.6340710819377823,0.24317652669079076
sy2021_sm05_w3m_off2,30832,0.04784339618289089,0.023921698091445447,3562,19917,7353,0.11552932018681888,0.645984691229891,0.2384859885832901
sy2021_sm06_w1m_off1,34922,0.1375728876868617,0.06878644384343086,8117,19543,7262,0.23243227764732832,0.559618578546475,0.20794914380619667
sy2021_sm06_w1m_off2,30076,0.14047535014851584,0.07023767507425792,7071,16716,6289,0.23510440218114112,0.5557919936161724,0.20910360420268653
sy2021_sm06_w2m_off1,35232,0.06957308765791802,0.03478654382895901,5352,21505,8375,0.15190735694822888,0.6103826067211626,0.23771003633060853
sy2021_sm06_w2m_off2,30385,0.0656418117968176,0.0328209058984088,3855,18451,8079,0.12687181174921836,0.6072404146782953,0.26588777357248644
sy2021_sm06_w3m_off1,35654,0.047998702225164655,0.023999351112582328,3379,24475,7800,0.0947719750939586,0.6864587423570988,0.21876928254894262
sy2021_sm06_w3m_off2,30707,0.04430017925824256,0.02215008962912128,1227,13763,15717,0.039958315693490086,0.4482039925749829,0.511837691731527
sy2021_sm07_w1m_off1,34702,0.13879463439092207,0.06939731719546104,5294,20301,9107,0.15255604864272954,0.5850095095383552,0.26243444181891534
sy2021_sm07_w1m_off2,29927,0.11109524614582528,0.05554762307291264,5260,16694,7973,0.1757610184782972,0.5578240384936679,0.26641494302803487
sy2021_sm07_w2m_off1,35387,0.06205691945704591,0.031028459728522955,5603,21524,8260,0.15833498177296748,0.6082459660327239,0.23341905219430864
sy2021_sm07_w2m_off2,30356,0.05716979957353137,0.028584899786765684,1435,9822,19099,0.04727236790090921,0.32356041639214655,0.6291672157069442
sy2021_sm07_w3m_off1,35618,0.055154392351420736,0.027577196175710368,5675,24149,5794,0.15932955247346847,0.6779998876972317,0.1626705598292998
sy2021_sm07_w3m_off2,30439,0.056787388347464156,0.028393694173732078,1387,9981,19071,0.04556654292190939,0.32790170504944316,0.6265317520286474
sy2021_sm08_w1m_off1,35003,0.12511669929093266,0.06255834964546633,10702,19153,5148,0.30574522183812813,0.5471816701425593,0.14707310801931264
sy2021_sm08_w1m_off2,29625,0.1632876247174494,0.0816438123587247,2004,7890,19731,0.06764556962025317,0.2663291139240506,0.6660253164556962
sy2021_sm08_w2m_off1,35410,0.0684002813132181,0.03420014065660905,9967,20649,4794,0.2814741598418526,0.583140355831686,0.13538548432646144
sy2021_sm08_w3m_off1,35829,0.04447551145388259,0.022237755726941293,10081,21340,4408,0.2813642580032934,0.5956069106031427,0.12302883139356387
sy2021_sm09_w1m_off1,35073,0.16890983118565403,0.08445491559282702,17588,13735,3750,0.5014683659795284,0.39161178114218914,0.10691985287828244
sy2021_sm09_w2m_off1,35547,0.06387369736531605,0.031936848682658024,12056,18727,4764,0.3391566095591752,0.5268236419388416,0.13401974850198328
sy2021_sm09_w3m_off1,36267,0.04688424952692999,0.023442124763464994,8572,21818,5877,0.23635812170844017,0.6015937353516971,0.1620481429398627
sy2021_sm10_w1m_off1,35299,0.10013158718813449,0.050065793594067244,9250,19958,6091,0.26204708348678435,0.5653984532139721,0.1725544632992436
sy2021_sm10_w2m_off1,35964,0.06002035957619886,0.03001017978809943,6268,22216,7480,0.17428539650761873,0.6177288399510622,0.2079857635413191
sy2021_sm10_w3m_off1,36600,0.05071467592029578,0.02535733796014789,5949,21876,8775,0.1625409836065574,0.5977049180327869,0.23975409836065573
sy2021_sm11_w1m_off1,35878,0.14550938841038236,0.07275469420519118,6511,20410,8957,0.18147611349573556,0.5688722894252746,0.2496515970789899
sy2021_sm11_w2m_off1,36335,0.07542161221919466,0.03771080610959733,6540,19778,10017,0.17999174349800467,0.5443236548782165,0.2756846016237787
sy2021_sm11_w3m_off1,36810,0.04928774698233199,0.024643873491165993,2346,22109,12355,0.06373268133659332,0.6006248302091823,0.3356424884542244
sy2021_sm12_w1m_off1,35792,0.15313504743849354,0.07656752371924677,6069,19071,10652,0.16956303084488153,0.5328285650424676,0.2976084041126509
sy2021_sm12_w2m_off1,36325,0.06264665739176856,0.03132332869588428,4273,21082,10970,0.11763248451479698,0.5803716448726772,0.3019958706125258
sy2021_sm12_w3m_off1,36630,0.05035250540886545,0.025176252704432724,8257,22838,5535,0.22541632541632542,0.6234780234780235,0.1511056511056511
sy2022_sm01_w1m_off1,35714,0.13406443551290495,0.06703221775645248,20482,10655,4577,0.573500588004704,0.2983423867390939,0.12815702525620204
sy2022_sm01_w2m_off1,36060,0.06843669081698783,0.034218345408493916,22066,11702,2292,0.611924570160843,0.3245146977260122,0.06356073211314475
sy2022_sm01_w3m_off1,36420,0.05765431090639721,0.028827155453198604,18725,15728,1967,0.5141405820977485,0.4318506315211422,0.05400878638110928
sy2022_sm02_w1m_off1,35223,0.14096955115269835,0.07048477557634918,7611,20529,7083,0.21608040201005024,0.5828294012435057,0.20109019674644407
sy2022_sm02_w2m_off1,35732,0.0754420685654291,0.03772103428271455,8264,22373,5095,0.23127728646591292,0.6261334378148439,0.14258927571924326
sy2022_sm02_w3m_off1,36201,0.04952956407308401,0.024764782036542005,6677,24048,5476,0.18444241871771497,0.6642910416839314,0.15126653959835365
sy2022_sm03_w1m_off1,35204,0.13722285314726196,0.06861142657363098,9448,20353,5403,0.2683785933416657,0.5781445290307919,0.15347687762754234
sy2022_sm03_w2m_off1,35699,0.06412401794459137,0.032062008972295684,5541,24189,5969,0.15521443177680047,0.677582005098182,0.1672035631250175
sy2022_sm03_w3m_off1,36232,0.051804938909676766,0.025902469454838383,3865,26607,5760,0.10667365864429233,0.7343508500772797,0.15897549127842792
sy2022_sm04_w1m_off1,35265,0.1260405358416236,0.0630202679208118,7095,21931,6239,0.20119098256061252,0.6218913937331632,0.1769176237062243
sy2022_sm04_w2m_off1,36035,0.05520838245463456,0.02760419122731728,5735,22571,7729,0.1591508255862356,0.6263632579436659,0.21448591647009851
sy2022_sm04_w3m_off1,36453,0.043744385260140864,0.021872192630070432,4621,24737,7095,0.12676597262228073,0.6785998408910103,0.1946341864867089
sy2022_sm05_w1m_off1,35563,0.09741382598010066,0.04870691299005033,7244,20979,7340,0.20369485139049012,0.5899108624131822,0.20639428619632763
sy2022_sm05_w2m_off1,35981,0.056799676597548414,0.028399838298774207,6184,22324,7473,0.17186848614546565,0.6204385647980879,0.20769294905644645
sy2022_sm05_w3m_off1,36252,0.0440887983259177,0.02204439916295885,4237,23345,8670,0.11687631027253668,0.643964470925742,0.23915921880172128
sy2022_sm06_w1m_off1,35118,0.13510257367099773,0.06755128683549887,7959,19923,7236,0.22663591320690243,0.5673159063728003,0.2060481804202973
sy2022_sm06_w2m_off1,35692,0.05911861764102851,0.029559308820514257,4737,21505,9450,0.1327188165415219,0.6025159699652584,0.26476521349321974
sy2022_sm06_w3m_off1,36070,0.040590901021349386,0.020295450510674693,1582,16466,18022,0.04385916273911838,0.45650124757416133,0.4996395896867203
sy2022_sm07_w1m_off1,34986,0.10217362698487258,0.05108681349243629,6048,19919,9019,0.17286914765906364,0.569342022523295,0.25778882981764134
sy2022_sm07_w2m_off1,35531,0.05098841110391288,0.02549420555195644,1749,11521,22261,0.04922462075370803,0.3242520615800287,0.6265233176662632
sy2022_sm07_w3m_off1,35631,0.051204692308588505,0.025602346154294253,1692,11862,22077,0.04748673907552412,0.3329123516039404,0.6196009093205355
sy2022_sm08_w1m_off1,34460,0.1398146924487471,0.06990734622437356,2356,8849,23255,0.06836912362159026,0.25679048171793384,0.674840394660476
