label,macro_f1_mean,macro_f1_std,recall_Decline_mean,recall_Stable_mean,recall_Growth_mean,f1_Decline_mean,f1_Stable_mean,f1_Growth_mean,combo_id,description,n_stores,n_features
A_baseline,0.500680557770224,0.0026246371625600826,0.34139155470249516,0.47870792449554156,0.7125123445757047,0.2928658513180111,0.4987995080838785,0.7103763139087824,sy2021_sm01_w3m_off1,Jan-Mar 2021 → Jan-Mar 2022,33998,43
B_base+cluster,0.5013633350432485,0.0031206755939482554,0.3517606673556769,0.4747553077415062,0.7128760483868248,0.2962167575895787,0.49719758617924414,0.7106756613609229,sy2021_sm01_w3m_off1,Jan-Mar 2021 → Jan-Mar 2022,33998,49
C_base+cp,0.5008430100344585,0.0035218377554233227,0.34177912298833607,0.4846378500315042,0.7071103811794541,0.2930816608440857,0.5011031997185522,0.7083441695407376,sy2021_sm01_w3m_off1,Jan-Mar 2021 → Jan-Mar 2022,33998,50
D_base+cluster+cp,0.5029725329120606,0.0029674970539154233,0.3533006053447512,0.4821676977054442,0.7087724085833667,0.2983478718801096,0.5008928921002588,0.7096768347558132,sy2021_sm01_w3m_off1,Jan-Mar 2021 → Jan-Mar 2022,33998,56
A_baseline,0.4954098472226211,0.00866075860817146,0.3160377358490566,0.5734471526821834,0.6480939154031758,0.23825227952669797,0.5884105255655687,0.6595667365755966,sy2021_sm03_w3m_off1,Mar-May 2021 → Mar-May 2022,34884,43
B_base+cluster,0.4967287507463861,0.006454333912086449,0.3193396226415094,0.5749718900166563,0.6488299455349542,0.2393275503135039,0.590313366973152,0.6605453349525023,sy2021_sm03_w3m_off1,Mar-May 2021 → Mar-May 2022,34884,49
C_base+cp,0.4993589831196802,0.007871281963098475,0.3240566037735849,0.5756348001923274,0.6501874275986099,0.24670482699349378,0.590457566124888,0.6609145562406589,sy2021_sm03_w3m_off1,Mar-May 2021 → Mar-May 2022,34884,50
D_base+cluster+cp,0.4986067153548245,0.008932117313381695,0.3268867924528302,0.5743753587194105,0.6486600702733492,0.24605848006341063,0.5895717966818326,0.6601898693192302,sy2021_sm03_w3m_off1,Mar-May 2021 → Mar-May 2022,34884,56
A_baseline,0.4875399691412475,0.0029549021113464487,0.5219111387376187,0.6425818259134506,0.34524155013048863,0.4557054093797963,0.6959614855118658,0.31095301253208024,sy2021_sm05_w3m_off1,May-Jul 2021 → May-Jul 2022,35473,43
B_base+cluster,0.487164247924371,0.005185744822869761,0.5235389105847059,0.6415165401829438,0.344551634695624,0.45626205579860557,0.6959034632303732,0.3093272247441344,sy2021_sm05_w3m_off1,May-Jul 2021 → May-Jul 2022,35473,49
C_base+cp,0.48737975937250155,0.005679563482763893,0.5244679945407619,0.648218675668593,0.3334874746862692,0.45931965959950505,0.6995234396134842,0.30329617890451543,sy2021_sm05_w3m_off1,May-Jul 2021 → May-Jul 2022,35473,50
D_base+cluster+cp,0.48824237235463563,0.006380980482840099,0.5240021350485791,0.6432476147229081,0.34501033810108483,0.4575083438965467,0.697029026917489,0.310189746249871,sy2021_sm05_w3m_off1,May-Jul 2021 → May-Jul 2022,35473,56
A_baseline,0.5095764295314058,0.006399915732887846,0.4772502895838902,0.6302848455659573,0.4640490946231347,0.4256869819936361,0.6724430992650381,0.43059920733554335,sy2021_sm09_w3m_off1,Sep-Nov 2021 → Sep-Nov 2022,36013,43
B_base+cluster,0.5102695587799927,0.004346169938317374,0.48000712821883634,0.6306531378342167,0.4634595436762109,0.42711292600588785,0.6727358396353652,0.43095991069872497,sy2021_sm09_w3m_off1,Sep-Nov 2021 → Sep-Nov 2022,36013,49
C_base+cp,0.5076423165114451,0.004880990485802743,0.4810413139683388,0.6231466042922568,0.46557899110203227,0.42412017183113926,0.6686058863252328,0.43020089137796347,sy2021_sm09_w3m_off1,Sep-Nov 2021 → Sep-Nov 2022,36013,50
D_base+cluster+cp,0.5100571230682186,0.005309697948555801,0.4922453889334403,0.6218112067545597,0.4662850119447426,0.42978405276651055,0.6686765427649533,0.4317107736731918,sy2021_sm09_w3m_off1,Sep-Nov 2021 → Sep-Nov 2022,36013,56
A_baseline,0.5143544236886957,0.009677346825362263,0.43532467532467534,0.562763915547025,0.6454409943107322,0.30498030114555896,0.5784944285923197,0.6595885413282085,sy2022_sm01_w3m_off1,Jan-Mar 2022 → Jan-Mar 2023,36133,43
B_base+cluster,0.5135584712172613,0.009035578317960834,0.4342857142857143,0.5611644273832374,0.645171829794262,0.30466327737053156,0.5769872954339013,0.6590248408473511,sy2022_sm01_w3m_off1,Jan-Mar 2022 → Jan-Mar 2023,36133,49
C_base+cp,0.5164680804818287,0.00869035149406587,0.43168831168831173,0.5664107485604607,0.6457100429266625,0.3097406533068054,0.5799825448864225,0.6596810432522584,sy2022_sm01_w3m_off1,Jan-Mar 2022 → Jan-Mar 2023,36133,50
D_base+cluster+cp,0.516463148884561,0.008403294614230552,0.4348051948051948,0.5655150351887397,0.645225853933447,0.31077808768513676,0.578821233856779,0.6597901251117673,sy2022_sm01_w3m_off1,Jan-Mar 2022 → Jan-Mar 2023,36133,56
A_baseline,0.4684226584471121,0.0051416569436738835,0.29539063758098283,0.7533577787031995,0.4151754385964912,0.2849348609839297,0.7873568025238342,0.33297631183357235,sy2022_sm03_w3m_off1,Mar-May 2022 → Mar-May 2023,35984,43
B_base+cluster,0.47156434851462947,0.0041071713595188285,0.3034817966727365,0.7527540905418344,0.4185999583940087,0.2903684587374762,0.7879178893958831,0.3364066974105289,sy2022_sm03_w3m_off1,Mar-May 2022 → Mar-May 2023,35984,49
C_base+cp,0.4725865784128607,0.006155946478894235,0.2983825114274034,0.7583760913747138,0.4178090978434228,0.28911400995879777,0.7904517935708337,0.33819393170895085,sy2022_sm03_w3m_off1,Mar-May 2022 → Mar-May 2023,35984,50
D_base+cluster+cp,0.4739568488311975,0.0058942813000029595,0.30647336083342624,0.753244670816827,0.4233433881145551,0.2944139948640122,0.7881109351985266,0.3393456164310539,sy2022_sm03_w3m_off1,Mar-May 2022 → Mar-May 2023,35984,56
A_baseline,0.5176234387532707,0.007920654825876344,0.5528251215205607,0.6715087414276055,0.38825859394255724,0.49718669743892097,0.7224859585150901,0.3331976603058008,sy2022_sm05_w3m_off1,May-Jul 2022 → May-Jul 2023,35893,43
B_base+cluster,0.5185590678527413,0.007859931042182779,0.55458272795995,0.670172553106123,0.3921114059124585,0.4978584063630248,0.7219235007473207,0.33589529644787836,sy2022_sm05_w3m_off1,May-Jul 2022 → May-Jul 2023,35893,49
C_base+cp,0.5207271519599936,0.004962569881770207,0.5531756550037112,0.6776282980035516,0.3863271135081844,0.49873189596161155,0.7252159576739438,0.3382336022444258,sy2022_sm05_w3m_off1,May-Jul 2022 → May-Jul 2023,35893,50
D_base+cluster+cp,0.5190333871731855,0.006818937266274765,0.5541128347388972,0.6702586114021204,0.3933159352210286,0.49749028966887554,0.7214622820568293,0.33814758979385173,sy2022_sm05_w3m_off1,May-Jul 2022 → May-Jul 2023,35893,56
