combo_id,start_year,start_month,window_months,target_offset,feature_start,feature_end,target_start,target_end,n_stores,exp_feat_weeks,exp_tgt_weeks,skipped
sy2021_sm01_w1m_off1,2021.0,1.0,1.0,1.0,2021-01-01,2021-01-31,2022-01-01,2022-01-31,33345,5.0,5.0,
sy2021_sm01_w1m_off2,2021.0,1.0,1.0,2.0,2021-01-01,2021-01-31,2023-01-01,2023-01-31,29468,5.0,5.0,
sy2021_sm01_w2m_off1,2021.0,1.0,2.0,1.0,2021-01-01,2021-02-28,2022-01-01,2022-02-28,33710,9.0,9.0,
sy2021_sm01_w2m_off2,2021.0,1.0,2.0,2.0,2021-01-01,2021-02-28,2023-01-01,2023-02-28,29992,9.0,9.0,
sy2021_sm01_w3m_off1,2021.0,1.0,3.0,1.0,2021-01-01,2021-03-31,2022-01-01,2022-03-31,34355,13.0,13.0,
sy2021_sm01_w3m_off2,2021.0,1.0,3.0,2.0,2021-01-01,2021-03-31,2023-01-01,2023-03-31,30683,13.0,13.0,
sy2021_sm02_w1m_off1,2021.0,2.0,1.0,1.0,2021-02-01,2021-02-28,2022-02-01,2022-02-28,33806,4.0,4.0,
sy2021_sm02_w1m_off2,2021.0,2.0,1.0,2.0,2021-02-01,2021-02-28,2023-02-01,2023-02-28,29853,4.0,4.0,
sy2021_sm02_w2m_off1,2021.0,2.0,2.0,1.0,2021-02-01,2021-03-31,2022-02-01,2022-03-31,34546,9.0,9.0,
sy2021_sm02_w2m_off2,2021.0,2.0,2.0,2.0,2021-02-01,2021-03-31,2023-02-01,2023-03-31,30811,9.0,9.0,
sy2021_sm02_w3m_off1,2021.0,2.0,3.0,1.0,2021-02-01,2021-04-30,2022-02-01,2022-04-30,35007,13.0,13.0,
sy2021_sm02_w3m_off2,2021.0,2.0,3.0,2.0,2021-02-01,2021-04-30,2023-02-01,2023-04-30,31226,13.0,13.0,
sy2021_sm03_w1m_off1,2021.0,3.0,1.0,1.0,2021-03-01,2021-03-31,2022-03-01,2022-03-31,34921,5.0,5.0,
sy2021_sm03_w1m_off2,2021.0,3.0,1.0,2.0,2021-03-01,2021-03-31,2023-03-01,2023-03-31,30786,5.0,5.0,
sy2021_sm03_w2m_off1,2021.0,3.0,2.0,1.0,2021-03-01,2021-04-30,2022-03-01,2022-04-30,34846,9.0,9.0,
sy2021_sm03_w2m_off2,2021.0,3.0,2.0,2.0,2021-03-01,2021-04-30,2023-03-01,2023-04-30,30914,9.0,9.0,
sy2021_sm03_w3m_off1,2021.0,3.0,3.0,1.0,2021-03-01,2021-05-31,2022-03-01,2022-05-31,35227,14.0,14.0,
sy2021_sm03_w3m_off2,2021.0,3.0,3.0,2.0,2021-03-01,2021-05-31,2023-03-01,2023-05-31,30991,14.0,14.0,
sy2021_sm04_w1m_off1,2021.0,4.0,1.0,1.0,2021-04-01,2021-04-30,2022-04-01,2022-04-30,34761,5.0,5.0,
sy2021_sm04_w1m_off2,2021.0,4.0,1.0,2.0,2021-04-01,2021-04-30,2023-04-01,2023-04-30,30415,5.0,5.0,
sy2021_sm04_w2m_off1,2021.0,4.0,2.0,1.0,2021-04-01,2021-05-31,2022-04-01,2022-05-31,35518,9.0,9.0,
sy2021_sm04_w2m_off2,2021.0,4.0,2.0,2.0,2021-04-01,2021-05-31,2023-04-01,2023-05-31,30921,9.0,9.0,
sy2021_sm04_w3m_off1,2021.0,4.0,3.0,1.0,2021-04-01,2021-06-30,2022-04-01,2022-06-30,35976,13.0,13.0,
sy2021_sm04_w3m_off2,2021.0,4.0,3.0,2.0,2021-04-01,2021-06-30,2023-04-01,2023-06-30,31237,13.0,13.0,
sy2021_sm05_w1m_off1,2021.0,5.0,1.0,1.0,2021-05-01,2021-05-31,2022-05-01,2022-05-31,35461,5.0,5.0,
sy2021_sm05_w1m_off2,2021.0,5.0,1.0,2.0,2021-05-01,2021-05-31,2023-05-01,2023-05-31,30678,5.0,5.0,
sy2021_sm05_w2m_off1,2021.0,5.0,2.0,1.0,2021-05-01,2021-06-30,2022-05-01,2022-06-30,35660,9.0,9.0,
sy2021_sm05_w2m_off2,2021.0,5.0,2.0,2.0,2021-05-01,2021-06-30,2023-05-01,2023-06-30,30854,9.0,9.0,
sy2021_sm05_w3m_off1,2021.0,5.0,3.0,1.0,2021-05-01,2021-07-31,2022-05-01,2022-07-31,35903,14.0,14.0,
sy2021_sm05_w3m_off2,2021.0,5.0,3.0,2.0,2021-05-01,2021-07-31,2023-05-01,2023-07-31,31072,14.0,14.0,
sy2021_sm06_w1m_off1,2021.0,6.0,1.0,1.0,2021-06-01,2021-06-30,2022-06-01,2022-06-30,35467,5.0,5.0,
sy2021_sm06_w1m_off2,2021.0,6.0,1.0,2.0,2021-06-01,2021-06-30,2023-06-01,2023-06-30,30588,5.0,5.0,
sy2021_sm06_w2m_off1,2021.0,6.0,2.0,1.0,2021-06-01,2021-07-31,2022-06-01,2022-07-31,35592,9.0,9.0,
sy2021_sm06_w2m_off2,2021.0,6.0,2.0,2.0,2021-06-01,2021-07-31,2023-06-01,2023-07-31,30692,9.0,9.0,
sy2021_sm06_w3m_off1,2021.0,6.0,3.0,1.0,2021-06-01,2021-08-31,2022-06-01,2022-08-31,35964,14.0,14.0,
sy2021_sm06_w3m_off2,2021.0,6.0,3.0,2.0,2021-06-01,2021-08-31,2023-06-01,2023-08-31,30976,14.0,14.0,
sy2021_sm07_w1m_off1,2021.0,7.0,1.0,1.0,2021-07-01,2021-07-31,2022-07-01,2022-07-31,35276,5.0,5.0,
sy2021_sm07_w1m_off2,2021.0,7.0,1.0,2.0,2021-07-01,2021-07-31,2023-07-01,2023-07-31,30389,5.0,5.0,
sy2021_sm07_w2m_off1,2021.0,7.0,2.0,1.0,2021-07-01,2021-08-31,2022-07-01,2022-08-31,35696,9.0,9.0,
sy2021_sm07_w2m_off2,2021.0,7.0,2.0,2.0,2021-07-01,2021-08-31,2023-07-01,2023-08-31,30694,9.0,9.0,
sy2021_sm07_w3m_off1,2021.0,7.0,3.0,1.0,2021-07-01,2021-09-30,2022-07-01,2022-09-30,35880,14.0,14.0,
sy2021_sm07_w3m_off2,2021.0,7.0,3.0,2.0,2021-07-01,2021-09-30,2023-07-01,2023-09-30,30773,14.0,14.0,
sy2021_sm08_w1m_off1,2021.0,8.0,1.0,1.0,2021-08-01,2021-08-31,2022-08-01,2022-08-31,35469,5.0,5.0,
sy2021_sm08_w1m_off2,2021.0,8.0,1.0,2.0,2021-08-01,2021-08-31,2023-08-01,2023-08-31,30226,5.0,5.0,
sy2021_sm08_w2m_off1,2021.0,8.0,2.0,1.0,2021-08-01,2021-09-30,2022-08-01,2022-09-30,35710,9.0,9.0,
sy2021_sm08_w2m_off2,,,,,,,,,0,,,no_stores
sy2021_sm08_w3m_off1,2021.0,8.0,3.0,1.0,2021-08-01,2021-10-31,2022-08-01,2022-10-31,36065,14.0,14.0,
sy2021_sm08_w3m_off2,,,,,,,,,0,,,no_stores
sy2021_sm09_w1m_off1,2021.0,9.0,1.0,1.0,2021-09-01,2021-09-30,2022-09-01,2022-09-30,35638,5.0,5.0,
sy2021_sm09_w2m_off1,2021.0,9.0,2.0,1.0,2021-09-01,2021-10-31,2022-09-01,2022-10-31,35839,9.0,9.0,
sy2021_sm09_w3m_off1,2021.0,9.0,3.0,1.0,2021-09-01,2021-11-30,2022-09-01,2022-11-30,36537,13.0,13.0,
sy2021_sm10_w1m_off1,2021.0,10.0,1.0,1.0,2021-10-01,2021-10-31,2022-10-01,2022-10-31,35767,5.0,5.0,
sy2021_sm10_w2m_off1,2021.0,10.0,2.0,1.0,2021-10-01,2021-11-30,2022-10-01,2022-11-30,36308,9.0,9.0,
sy2021_sm10_w3m_off1,2021.0,10.0,3.0,1.0,2021-10-01,2021-12-31,2022-10-01,2022-12-31,36879,14.0,14.0,
sy2021_sm11_w1m_off1,2021.0,11.0,1.0,1.0,2021-11-01,2021-11-30,2022-11-01,2022-11-30,36516,5.0,5.0,
sy2021_sm11_w2m_off1,2021.0,11.0,2.0,1.0,2021-11-01,2021-12-31,2022-11-01,2022-12-31,36707,9.0,9.0,
sy2021_sm11_w3m_off1,2021.0,11.0,3.0,1.0,2021-11-01,2022-01-31,2022-11-01,2023-01-31,37129,14.0,14.0,
sy2021_sm12_w1m_off1,2021.0,12.0,1.0,1.0,2021-12-01,2021-12-31,2022-12-01,2022-12-31,36410,5.0,5.0,
sy2021_sm12_w2m_off1,2021.0,12.0,2.0,1.0,2021-12-01,2022-01-31,2022-12-01,2023-01-31,36662,9.0,9.0,
sy2021_sm12_w3m_off1,2021.0,12.0,3.0,1.0,2021-12-01,2022-02-28,2022-12-01,2023-02-28,36921,13.0,13.0,
sy2022_sm01_w1m_off1,2022.0,1.0,1.0,1.0,2022-01-01,2022-01-31,2023-01-01,2023-01-31,36209,5.0,5.0,
sy2022_sm01_w2m_off1,2022.0,1.0,2.0,1.0,2022-01-01,2022-02-28,2023-01-01,2023-02-28,36393,9.0,9.0,
sy2022_sm01_w3m_off1,2022.0,1.0,3.0,1.0,2022-01-01,2022-03-31,2023-01-01,2023-03-31,36683,13.0,13.0,
sy2022_sm02_w1m_off1,2022.0,2.0,1.0,1.0,2022-02-01,2022-02-28,2023-02-01,2023-02-28,35836,4.0,4.0,
