model,fold,macro_f1,precision_Decline,precision_Stable,precision_Growth,recall_Decline,recall_Stable,recall_Growth,f1_Decline,f1_Stable,f1_Growth,combo_id,start_year,start_month,window_months,target_offset,n_stores
rf,0,0.5162040080732422,0.5196172248803828,0.3682277318640955,0.6484235574063058,0.7626404494382022,0.21852861035422344,0.664229128580134,0.618099032441662,0.27428180574555405,0.6562311860325105,sy2021_sm01_w1m_off1,2021,1,1,1,32701
rf,1,0.5132095201231154,0.5254640647310804,0.3408900083963056,0.6480911330049262,0.7758257203092059,0.22113289760348584,0.6415726912526669,0.626560726447219,0.2682523951106706,0.6448154388114565,sy2021_sm01_w1m_off1,2021,1,1,1,32701
rf,2,0.51879591431557,0.5325047801147228,0.3391634980988593,0.6546441110756464,0.7823033707865169,0.24305177111716622,0.6251142944224322,0.6336746302616609,0.2831746031746032,0.6395385095104459,sy2021_sm01_w1m_off1,2021,1,1,1,32701
rf,3,0.5199901291621566,0.5236977944626936,0.3530864197530864,0.6596743894802756,0.7837078651685393,0.2337874659400545,0.6421822615056385,0.6278481012658228,0.2813114754098361,0.6508108108108108,sy2021_sm01_w1m_off1,2021,1,1,1,32701
rf,4,0.5235200284207852,0.5220095693779905,0.35975135975135974,0.6651912741068606,0.7661516853932584,0.25231607629427794,0.641267906126181,0.6209447922595333,0.2966047405509289,0.6530105524518932,sy2021_sm01_w1m_off1,2021,1,1,1,32701
lgb,0,0.523390472745212,0.5398138572905895,0.35596572181938035,0.6456310679611651,0.7331460674157303,0.29427792915531337,0.6078610603290676,0.6217986896962477,0.3221957040572792,0.6261770244821092,sy2021_sm01_w1m_off1,2021,1,1,1,32701
lgb,1,0.5218717503310212,0.5478170478170478,0.34110032362459547,0.6453923803321394,0.7406886858749122,0.28703703703703703,0.6040841206949101,0.629817747236331,0.3117420881396037,0.6240554156171285,sy2021_sm01_w1m_off1,2021,1,1,1,32701
lgb,2,0.5231866305527626,0.555614406779661,0.3345565749235474,0.6479946967185947,0.7366573033707865,0.29809264305177113,0.5958549222797928,0.6334541062801933,0.3152737752161383,0.6208320101619562,sy2021_sm01_w1m_off1,2021,1,1,1,32701
lgb,3,0.5257071063592359,0.5436344969199178,0.34779834077855776,0.655206611570248,0.7436797752808989,0.2970027247956403,0.6040841206949101,0.6281138790035588,0.3203997648442093,0.6286076752299398,sy2021_sm01_w1m_off1,2021,1,1,1,32701
lgb,4,0.533018242068435,0.5475065616797901,0.3631713554987212,0.6600455877564312,0.7324438202247191,0.30953678474114443,0.6177994513867723,0.6266145989786722,0.33421594586643133,0.6382241813602015,sy2021_sm01_w1m_off1,2021,1,1,1,32701
rf,0,0.4989370056218568,0.24363057324840764,0.5267649340574089,0.7502341554792382,0.4101876675603217,0.3860147811256396,0.7409805735430157,0.30569430569430567,0.44553805774278216,0.7455786534284827,sy2021_sm01_w1m_off2,2021,1,1,2,28736
rf,1,0.5041170588123386,0.25220883534136546,0.5252069224981188,0.7529152221872045,0.4214765100671141,0.39681637293917,0.736663583102066,0.3155778894472362,0.4520725388601036,0.7447007481296758,sy2021_sm01_w1m_off2,2021,1,1,2,28736
rf,2,0.4933947053877252,0.2446215139442231,0.5114624505928854,0.7471335605825844,0.41152815013404825,0.36803185437997726,0.7434474252235584,0.30684657671164417,0.42805160436652334,0.7452859350850077,sy2021_sm01_w1m_off2,2021,1,1,2,28736
rf,3,0.4917859422819042,0.23488372093023255,0.5311268715524035,0.7387076537013801,0.4061662198391421,0.3833902161547213,0.7261794634597595,0.29764243614931235,0.4453254046911133,0.7323899860052869,sy2021_sm01_w1m_off2,2021,1,1,2,28736
rf,4,0.5096254283631239,0.2682926829268293,0.5336391437308868,0.7430769230769231,0.42761394101876676,0.39681637293917,0.7449105490438002,0.3297157622739018,0.45516791653081184,0.743992606284658,sy2021_sm01_w1m_off2,2021,1,1,2,28736
lgb,0,0.4922548566690767,0.24375538329026702,0.48545706371191133,0.7540566337893733,0.37935656836461124,0.3985218874360432,0.730804810360777,0.29680125852123757,0.43771464252263503,0.7422486689633574,sy2021_sm01_w1m_off2,2021,1,1,2,28736
lgb,1,0.5001030756086865,0.2469244288224956,0.4972936400541272,0.7610986905142128,0.37718120805369126,0.4178510517339397,0.734813444341659,0.2984599044078598,0.4541241890639481,0.7477251333542516,sy2021_sm01_w1m_off2,2021,1,1,2,28736
